,SP500,Temp,INDPRO
1950-01-31,2.8361502037295256,-0.2,14.0049
1950-02-28,2.8460714989995846,-0.21,14.0586
1950-03-31,2.850128299695199,-0.06,14.5156
1950-04-30,2.8942531046041373,-0.17,14.9995
1950-05-31,2.932792473780117,0.01,15.3489
1950-06-30,2.872999508171694,-0.01,15.8059
1950-07-31,2.8814431271518632,-0.06,16.3166
1950-08-31,2.913437030827161,-0.09,16.8274
1950-09-30,2.9678470700644555,-0.08,16.7198
1950-10-31,2.9719517448885875,-0.19,16.8273
1950-11-30,2.97092715463502,-0.29,16.8005
1950-12-31,3.0160249768217535,-0.21,17.0962
1951-01-31,3.0754672415728446,-0.32,17.1499
1951-02-28,3.0819099697950434,-0.38,17.2575
1951-03-31,3.0633909220278057,-0.12,17.3381
1951-04-30,3.110399348532117,-0.15,17.365
1951-05-31,3.0689827352935835,0.03,17.3112
1951-06-30,3.0426158594528414,0.04,17.2306
1951-07-31,3.109060958860994,0.04,16.9618
1951-08-31,3.147594622863237,0.1,16.8005
1951-09-30,3.1467351470905185,0.14,16.908
1951-10-31,3.1328821117012247,0.13,16.8811
1951-11-30,3.130263166511597,0.0,17.0155
1951-12-31,3.1684242813721024,0.18,17.123
1952-01-31,3.1838702156693857,0.15,17.3112
1952-02-29,3.1467351470905185,0.12,17.4187
1952-03-31,3.193352867637115,-0.02,17.4725
1952-04-30,3.1493113614822916,0.09,17.3112
1952-05-31,3.17220341666977,0.01,17.1499
1952-06-30,3.217274543501227,0.01,16.9886
1952-07-31,3.2347491740244907,0.06,16.7198
1952-08-31,3.2200751054436827,0.07,17.7951
1952-09-30,3.2003044392827653,0.07,18.4402
1952-10-31,3.1994891110680106,0.04,18.6284
1952-11-30,3.2449333591874905,-0.07,19.0047
1952-12-31,3.279782759771722,0.03,19.1122
1953-01-31,3.2726061472891685,0.09,19.166
1953-02-28,3.254242968705492,0.17,19.2735
1953-03-31,3.2304090606818736,0.17,19.4348
1953-04-30,3.2035591207563074,0.27,19.5154
1953-05-31,3.2003044392827653,0.17,19.6229
1953-06-30,3.1838702156693857,0.18,19.5423
1953-07-31,3.2088254890146994,0.01,19.7842
1953-08-31,3.1493113614822916,0.03,19.6767
1953-09-30,3.150596984114906,0.01,19.2735
1953-10-31,3.2003044392827653,0.1,19.1122
1953-11-30,3.2092294478163956,-0.01,18.6553
1953-12-31,3.21124679770371,0.05,18.1983
1954-01-31,3.261168737058452,-0.17,18.0639
1954-02-28,3.263849190510932,-0.05,18.1176
1954-03-31,3.293612170982218,-0.12,18.0101
1954-04-30,3.3414473772563813,-0.15,17.9026
1954-05-31,3.3738261848660236,-0.17,18.0101
1954-06-30,3.3745111163996495,-0.09,18.0639
1954-07-31,3.4301087251565754,-0.08,18.0907
1954-08-31,3.395514598526657,-0.11,18.0639
1954-09-30,3.475376779836407,-0.09,18.0908
1954-10-31,3.455685566946225,-0.02,18.3058
1954-11-30,3.5333945512735414,0.04,18.6015
1954-12-31,3.582963228522387,-0.12,18.8434
1955-01-31,3.6008675767907232,0.13,19.2735
1955-02-28,3.6044102974874863,-0.18,19.5154
1955-03-31,3.5995016429627196,-0.29,19.9724
1955-04-30,3.636532973741727,-0.2,20.2143
1955-05-31,3.635214929528243,-0.14,20.5369
1955-06-30,3.714303506454095,-0.11,20.5638
1955-07-31,3.773220602547687,-0.09,20.7251
1955-08-31,3.7653774250866614,0.04,20.6982
1955-09-30,3.7766613674974696,-0.07,20.8326
1955-10-31,3.745732265706719,-0.06,21.182
1955-11-30,3.8179320820285505,-0.23,21.2358
1955-12-31,3.8172726688823353,-0.27,21.3164
1956-01-31,3.7800903341673204,-0.08,21.4508
1956-02-29,3.814189645079383,-0.16,21.2627
1956-03-31,3.881151341761059,-0.14,21.2627
1956-04-30,3.8790865051818813,-0.24,21.424
1956-05-31,3.8110970868381857,-0.26,21.2358
